BARCAŚ	(.|#|)bartsaS(.|#|)
WUWJELBOWANYCH	(.|#|)wu(j|)Elbowan1x(.|#|)
WUWJERGANI	(.|#|)wu(j|)Ergani(.|#|)
WUWJERTKI	(.|#|)wu(j|)Ertki(.|#|)
WUWJERTKOW	(.|#|)wu(j|)ErtkO(.|#|)
WUWJERTKOW	(.|#|)wu(j|)Ertko(.|#|)
WUWJEŹEŃSKEMU	(.|#|)wu(j|)EZEjnskEmu(.|#|)
WUWJEŹEŃSKEMU	(.|#|)wu(j|)EZejnskEmu(.|#|)
WUWJEŹOWARKAM	(.|#|)wu(j|)EZOwarkam(.|#|)
WUWJEŹOWARKAM	(.|#|)wu(j|)EZowarkam(.|#|)
WUWJEŹOWAŔKAM	(.|#|)wu(j|)EZOwarkam(.|#|)
WUWJEŹOWAŔKAM	(.|#|)wu(j|)EZowarkam(.|#|)
WUWJEŹĆO	(.|#|)wu(j|)EZtSO(.|#|)
WUWLACT	(.|#|)wulatst(.|#|)
WUWLAKU	(.|#|)wulaku(.|#|)
WUWLEKUJOŚO	(.|#|)wulEkujOSO(.|#|)
WUWOBALUJOMY	(.|#|)wuwObalujOm1(.|#|)
WUWOBALUJOMY	(.|#|)wuwObalujOmU(.|#|)
WUWOBRAZOWANIM	(.|#|)wuwObrazOwanim(.|#|)
WUWOBRAZOWANIM	(.|#|)wuwObrazowanim(.|#|)
WUWOBRAŚALI	(.|#|)wuwObraSali(.|#|)
WUWOBWIJACH	(.|#|)wuwObwijax(.|#|)
WUWOCHLIJOMEJ	(.|#|)wuwOxlijOmej(.|#|)
WUWOGLĚDOWANE	(.|#|)wuwOgljidOwanE(.|#|)
WUWOGLĚDOWANE	(.|#|)wuwOgljidowanE(.|#|)
WUWOGOŃKOWANE	(.|#|)wuwOgOjnkOwanE(.|#|)
WUWOGOŃKOWANE	(.|#|)wuwOgOjnkowanE(.|#|)
WUWOGOŃKUJ	(.|#|)wuwOgOjnkuj(.|#|)
WUWOPYTOWANJU	(.|#|)wuwOp1tOwanju(.|#|)
WUWOPYTOWANJU	(.|#|)wuwOp1towanju(.|#|)
WUWOŁAŔ	(.|#|)wuwOwar(.|#|)
WUWOŁAŔ	(.|#|)wuwowar(.|#|)
WUWOŁAŚ	(.|#|)wuwOwaS(.|#|)
WUWOŁAŚ	(.|#|)wuwowaS(.|#|)
WUWROTACH	(.|#|)wurOtax(.|#|)
WUWROŚAŚ	(.|#|)wurOSaS(.|#|)
WUWROŚUJŚO	(.|#|)wurOSujSO(.|#|)
WUWRĚŚIM	(.|#|)wurjiSim(.|#|)
WUWUCHROWAŁA	(.|#|)wuwuxrOwawa(.|#|)
WUWUCHROWAŁA	(.|#|)wuwuxrowawa(.|#|)
WUWUGLENJU	(.|#|)wuwuglEnju(.|#|)
WUWUKNUT	(.|#|)wuwuknut(.|#|)
WUWUSAJŹAJUCY	(.|#|)wuwusajZajuts1(.|#|)
WUWUŁARJOWU	(.|#|)wuwuwarjOwu(.|#|)
WUWUŁARJOWU	(.|#|)wuwuwarjowu(.|#|)
WUWUŁAŔ	(.|#|)wuwuwar(.|#|)
WUWUŠYWAJTEJ	(.|#|)wuwuS1wajtej(.|#|)
WUWUŹMEJ	(.|#|)wuwuZmej(.|#|)
WUWUŹONE	(.|#|)wuwuZOnE(.|#|)
WUWUŹĆO	(.|#|)wuwuZtSO(.|#|)
WUWZEŚNJE	(.|#|)wuzESn(j|)E(.|#|)
WUWZEŚNY	(.|#|)wuzESn1(.|#|)
WUWZEŚOWA	(.|#|)wuzESOwa(.|#|)
WUWZEŚOWA	(.|#|)wuzESowa(.|#|)
WUWÓCUŚOWANEJE	(.|#|)wuwUtsuSOwanejE(.|#|)
WUWÓCUŚOWANEJE	(.|#|)wuwUtsuSowanejE(.|#|)
WUWÓJUJUCYCH	(.|#|)wuwUjujuts1x(.|#|)
WUWÓLNICHMY	(.|#|)wuwUlnixm1(.|#|)
WUWÓLNICHMY	(.|#|)wuwUlniCmU(.|#|)
WUWÓLNJANEJ	(.|#|)wuwUlnjanej(.|#|)
WUWÓLNJUJUCYMI	(.|#|)wuwUlnjujuts1mi(.|#|)
WUWÓNOŹENJAM	(.|#|)wuwUnOZEnjam(.|#|)
WUWÓROWANEJE	(.|#|)wuwUrOwanejE(.|#|)
WUWÓROWANEJE	(.|#|)wuwUrowanejE(.|#|)
WUWÓSKUJMEJ	(.|#|)wuwUskujmej(.|#|)
WUWÓTCYNJANE	(.|#|)wuwUtts1njanE(.|#|)
WUWÓZOJU	(.|#|)wuwUzOju(.|#|)
WUWÓZYLI	(.|#|)wuwUz1li(.|#|)
WUWÓŔŚO	(.|#|)wuwUrSO(.|#|)
WUWÓŚEPOWANEM	(.|#|)wuwUSEpOwanEm(.|#|)
WUWÓŚEPOWANEM	(.|#|)wuwUSEpowanEm(.|#|)
WUWÓŹEWALI	(.|#|)wuwUZEwali(.|#|)
WUWĚDOBNJACH	(.|#|)wujidObnjax(.|#|)
WUWĚNCUJU	(.|#|)wujintsuju(.|#|)
WUWĚRCOWACHU	(.|#|)wujirtsOwaxu(.|#|)
WUWĚRCOWACHU	(.|#|)wujirtsowaxu(.|#|)
WUWĚROWANEJE	(.|#|)wujirOwanejE(.|#|)
WUWĚROWANEJE	(.|#|)wujirowanejE(.|#|)
WUWĚTŠOWAŚ	(.|#|)wujitSOwaS(.|#|)
WUWĚTŠOWAŚ	(.|#|)wujitSowaS(.|#|)
WUWĚTŠOWAŠĆO	(.|#|)wujitSOwaStSO(.|#|)
WUWĚTŠOWAŠĆO	(.|#|)wujitSowaStSO(.|#|)
WUWĚTŠTEJ	(.|#|)wujitStej(.|#|)
WUWĚWAŁO	(.|#|)wujiwawO(.|#|)
WUWĚZBACH	(.|#|)wujizbax(.|#|)
WUWĚZBY	(.|#|)wujizb1(.|#|)
WUWĚZKOWY	(.|#|)wujizkOw1(.|#|)
WUWĚZKOWY	(.|#|)wujizkow1(.|#|)
WUWĚŔMEJ	(.|#|)wujirmej(.|#|)
WUWĚŽOMY	(.|#|)wujiZOm1(.|#|)
WUWĚŽOMY	(.|#|)wujiZOmU(.|#|)
WUWŁOCOWANEJE	(.|#|)wuwOtsOwanejE(.|#|)
WUWŁOCOWANEJE	(.|#|)wuwOtsowanejE(.|#|)
WUZABIJAŚ	(.|#|)wuzabijaS(.|#|)
WUZABIJAŠĆO	(.|#|)wuzabijaStSO(.|#|)
WUZADRĚWAT	(.|#|)wuzadrjiwat(.|#|)
WUZAGADOWMY	(.|#|)wuzagadOum1(.|#|)
WUZAGADOWMY	(.|#|)wuzagadoumU(.|#|)
WUZAGŁAŽKOWANJAM	(.|#|)wuzagwaSkOwanjam(.|#|)
WUZAGŁAŽKOWANJAM	(.|#|)wuzagwaSkowanjam(.|#|)
WUZAJMAŁEJ	(.|#|)wuzajmawej(.|#|)
WUZAKITOWANE	(.|#|)wuzakitOwanE(.|#|)
WUZAKITOWANE	(.|#|)wuzakitowanE(.|#|)
WUZAMAZOWACHMY	(.|#|)wuzamazOwaxm1(.|#|)
WUZAMAZOWACHMY	(.|#|)wuzamazowaxmU(.|#|)
WUZAMÓŽNJANJU	(.|#|)wuzamUZnjanju(.|#|)
WUZANICOWAŁEJ	(.|#|)wuzanitsOwawej(.|#|)
WUZANICOWAŁEJ	(.|#|)wuzanitsowawej(.|#|)
WUZAPISANJOWU	(.|#|)wuzapisanjOwu(.|#|)
WUZAPISANJOWU	(.|#|)wuzapisanjowu(.|#|)
WUZARZACHMEJ	(.|#|)wuzarzaxmej(.|#|)
WUZARZAWJEŁ	(.|#|)wuzarzau(j|)Ew(.|#|)
WUZARZAŚ	(.|#|)wuzarzaS(.|#|)
WUZARĚZOWANJACH	(.|#|)wuzarjizOwanjax(.|#|)
WUZARĚZOWANJACH	(.|#|)wuzarjizowanjax(.|#|)
WUZASTAJOWAŚ	(.|#|)wuzastajOwaS(.|#|)
WUZASTAJOWAŚ	(.|#|)wuzastajowaS(.|#|)
WUZASTŚĚLAJOMY	(.|#|)wuzastSjilajOm1(.|#|)
WUZASTŚĚLAJOMY	(.|#|)wuzastSjilajOmU(.|#|)
WUZASĆEŁAJMY	(.|#|)wuzastSEwajm1(.|#|)
WUZASĆEŁAJMY	(.|#|)wuzastSEwajmU(.|#|)
WUZASĆEŁALI	(.|#|)wuzastSEwali(.|#|)
WUZATŁOCOWACHMY	(.|#|)wuzatwOtsOwaxm1(.|#|)
WUZATŁOCOWACHMY	(.|#|)wuzatwOtsowaxmU(.|#|)
WUZAWALOWANYCH	(.|#|)wuzawalOwan1x(.|#|)
WUZAWALOWANYCH	(.|#|)wuzawalowan1x(.|#|)
WUZAWIJANIM	(.|#|)wuzawijanim(.|#|)
WUZAWROŚOWANJA	(.|#|)wuzaurOSOwanja(.|#|)
WUZAWROŚOWANJA	(.|#|)wuzaurOSowanja(.|#|)
WUZAŠTAPOWANYMA	(.|#|)wuzaStapOwan1ma(.|#|)
WUZAŠTAPOWANYMA	(.|#|)wuzaStapowan1ma(.|#|)
WUZAŽARBOWANYMA	(.|#|)wuzaZarbOwan1ma(.|#|)
WUZAŽARBOWANYMA	(.|#|)wuzaZarbowan1ma(.|#|)
WUZBUŹOWANYMA	(.|#|)wuzbuZOwan1ma(.|#|)
WUZBUŹOWANYMA	(.|#|)wuzbuZowan1ma(.|#|)
WUZBYCH	(.|#|)wuzb1x(.|#|)
WUZBYTKUJUCYMI	(.|#|)wuzb1tkujuts1mi(.|#|)
WUZBYWANJAM	(.|#|)wuzb1wanjam(.|#|)
WUZBÓŽMEJ	(.|#|)wuzbUZmej(.|#|)
WUZBÓŽNICA	(.|#|)wuzbUZnitsa(.|#|)
WUZBÓŽNIMEJ	(.|#|)wuzbUZnimej(.|#|)
WUZBÓŽOWAŁA	(.|#|)wuzbUZOwawa(.|#|)
WUZBÓŽOWAŁA	(.|#|)wuzbUZowawa(.|#|)
WUZBÓŽTEJ	(.|#|)wuzbUZtej(.|#|)
WUZBÓŽUJ	(.|#|)wuzbUZuj(.|#|)
WUZBÓŽYŁEJ	(.|#|)wuzbUZ1wej(.|#|)
WUZBÓŽĆO	(.|#|)wuzbUZtSO(.|#|)
WUZBĚRNJENIM	(.|#|)wuzbjirn(j|)Enim(.|#|)
WUZDACHU	(.|#|)wuzdaxu(.|#|)
WUZDNEJU	(.|#|)wuzdneju(.|#|)
WUZDOWAŁ	(.|#|)wuzdOwau(.|#|)
WUZDOWAŁ	(.|#|)wuzdowau(.|#|)
WUZDUJUCYM	(.|#|)wuzdujuts1m(.|#|)
WUZDY	(.|#|)wuzd1(.|#|)
WUZDŹ	(.|#|)wuztS(.|#|)
WUZDŹECYMI	(.|#|)wuzdZEts1mi(.|#|)
WUZDŹICCE	(.|#|)wuzdZitsE(.|#|)
WUZDŹMY	(.|#|)wuzdZm1(.|#|)
WUZDŹMY	(.|#|)wuzdZmU(.|#|)
WUZEGIBOWANJU	(.|#|)wuzEgibOwanju(.|#|)
WUZEGIBOWANJU	(.|#|)wuzEgibowanju(.|#|)
WUZEJMACHMY	(.|#|)wuzejmaxm1(.|#|)
WUZEJMACHMY	(.|#|)wuzejmaxmU(.|#|)
WUZEJMIŚO	(.|#|)wuzejmiSO(.|#|)
WUZEJMMEJ	(.|#|)wuzejmej(.|#|)
WUZEJMOWANEMU	(.|#|)wuzejmOwanEmu(.|#|)
WUZEJMOWANEMU	(.|#|)wuzejmowanEmu(.|#|)
WUZEJTEJ	(.|#|)wuzejtej(.|#|)
WUZELENJONYCH	(.|#|)wuzElEnjOn1x(.|#|)
WUZESEDOWANEMU	(.|#|)wuzEsEdOwanEmu(.|#|)
WUZESEDOWANEMU	(.|#|)wuzEsEdowanEmu(.|#|)
WUZETEJE	(.|#|)wuzEtejE(.|#|)
WUZEZŁAMOWAŁO	(.|#|)wuzEzwamOwawO(.|#|)
WUZEZŁAMOWAŁO	(.|#|)wuzEzwamowawO(.|#|)
WUZEŁEJ	(.|#|)wuzEwej(.|#|)
WUZEŚOWU	(.|#|)wuzESOwu(.|#|)
WUZEŚOWU	(.|#|)wuzESowu(.|#|)
WUZEŠYWANYCH	(.|#|)wuzES1wan1x(.|#|)
WUZGANJUJOMEJ	(.|#|)wuzganjujOmej(.|#|)
WUZGIBK	(.|#|)wuzgipk(.|#|)
WUZGIBKI	(.|#|)wuzgipki(.|#|)
WUZGIBNJOMEJ	(.|#|)wuzgibnjOmej(.|#|)
WUZGJARNUJOŚO	(.|#|)wuzgjarnujOSO(.|#|)
WUZGJARUJUCEM	(.|#|)wuzgjarujutsEm(.|#|)
WUZGUBNJENJOMA	(.|#|)wuzgubn(j|)EnjOma(.|#|)
WUZGÓNJOWARJEJU	(.|#|)wuzgUnjOwar(j|)eju(.|#|)
WUZGÓNJOWARJEJU	(.|#|)wuzgUnjowar(j|)eju(.|#|)
WUZJAWJAMY	(.|#|)wuzjaujam1(.|#|)
WUZJAWJAMY	(.|#|)wuzjaujamU(.|#|)
WUZKI	(.|#|)wuski(.|#|)
WUZKICH	(.|#|)wuskix(.|#|)
WUZKICH	(.|#|)wuskiC(.|#|)
WUZLĚKACHMEJ	(.|#|)wuzljikaxmej(.|#|)
WUZLĚKAJOMEJ	(.|#|)wuzljikajOmej(.|#|)
WUZMAWAJŚO	(.|#|)wuzmawajSO(.|#|)
WUZMILMEJ	(.|#|)wuzmilmej(.|#|)
WUZMILONYMI	(.|#|)wuzmilOn1mi(.|#|)
WUZMILTEJ	(.|#|)wuzmiltej(.|#|)
WUZMILUJUCEM	(.|#|)wuzmilujutsEm(.|#|)
WUZMILŚO	(.|#|)wuzmilSO(.|#|)
WUZMJATANYMA	(.|#|)wuzmjatan1ma(.|#|)
WUZNAM	(.|#|)wuznam(.|#|)
WUZNAMNOSĆOMA	(.|#|)wuznamnOstSOma(.|#|)
WUZNAMNOSĆOMA	(.|#|)wuznamnOStSOma(.|#|)
WUZNAŚE	(.|#|)wuznaSE(.|#|)
WUZNOJONE	(.|#|)wuznOjOnE(.|#|)
WUZNOJUJUCEJ	(.|#|)wuznOjujutsej(.|#|)
WUZNĚTA	(.|#|)wuznjita(.|#|)
WUZNĚWAJTEJ	(.|#|)wuznjiwajtej(.|#|)
WUZNĚŁA	(.|#|)wuznjiwa(.|#|)
WUZNĚŠĆO	(.|#|)wuznjiStSO(.|#|)
WUZNĚŠĆO	(.|#|)wuzn1StSO(.|#|)
WUZUBKOWAŁ	(.|#|)wuzupkOwau(.|#|)
WUZUBKOWAŁ	(.|#|)wuzupkowau(.|#|)
WUZUKOWANEGO	(.|#|)wuzukOwanEgO(.|#|)
WUZUKOWANEGO	(.|#|)wuzukowanEgO(.|#|)
WUZUČKI	(.|#|)wuzutSki(.|#|)
WUZWARBOWANYMA	(.|#|)wuzwarbOwan1ma(.|#|)
WUZWARBOWANYMA	(.|#|)wuzwarbowan1ma(.|#|)
WUZWIGAŚ	(.|#|)wuzwigaS(.|#|)
WUZWINUCH	(.|#|)wuzwinux(.|#|)
WUZWINULI	(.|#|)wuzwinuli(.|#|)
WUZWJAWJOWACH	(.|#|)wuzwjaujOwax(.|#|)
WUZWJAWJOWACH	(.|#|)wuzwjaujowax(.|#|)
WUZWJENOWACH	(.|#|)wuzw(j|)EnOwax(.|#|)
WUZWJENOWACH	(.|#|)wuzw(j|)Enowax(.|#|)
WUZWÓLIŚ	(.|#|)wuzwUliS(.|#|)
WUZWÓLOWAŁ	(.|#|)wuzwUlOwau(.|#|)
WUZWÓLOWAŁ	(.|#|)wuzwUlowau(.|#|)
WUZWÓNIŚ	(.|#|)wuzwUniS(.|#|)
WUZYMNINJAMI	(.|#|)wuz1mninjami(.|#|)
WUZŁOŚANJONA	(.|#|)wuzwOSanjOna(.|#|)
WUŁ	(.|#|)wuw(.|#|)
WUŁACNJEŁA	(.|#|)wuwatsn(j|)Ewa(.|#|)
WUŁAJANA	(.|#|)wuwajana(.|#|)
WUŁAKOWANEMU	(.|#|)wuwakOwanEmu(.|#|)
WUŁAKOWANEMU	(.|#|)wuwakowanEmu(.|#|)
WUŁAMAŠO	(.|#|)wuwamaSO(.|#|)
WUŁAMJUCYM	(.|#|)wuwamjuts1m(.|#|)
WUŁAMOWAŚ	(.|#|)wuwamOwaS(.|#|)
WUŁAMOWAŚ	(.|#|)wuwamowaS(.|#|)
WUŁAPANYM	(.|#|)wuwapan1m(.|#|)
WUŁAPCE	(.|#|)wuwaptsE(.|#|)
WUŁAPOTNICA	(.|#|)wuwapOtnitsa(.|#|)
WUŁATOWAŠTEJ	(.|#|)wuwatOwaStej(.|#|)
WUŁATOWAŠTEJ	(.|#|)wuwatowaStej(.|#|)
WUŁAWKOTANA	(.|#|)wuwaukOtana(.|#|)
WUŁAZENJOW	(.|#|)wuwazEnjO(.|#|)
WUŁAZENJOW	(.|#|)wuwazEnjo(.|#|)
WUŁDGATEJU	(.|#|)wuwdgateju(.|#|)
WUŁDGAŁ	(.|#|)wuwdgau(.|#|)
WUŁDŽOMEJ	(.|#|)wuwdZOmej(.|#|)
WUŁEJ	(.|#|)wuwej(.|#|)
WUŁOJUJUCU	(.|#|)wuwOjujutsu(.|#|)
WUŁOMMEJ	(.|#|)wuwOmej(.|#|)
WUŁOMŚO	(.|#|)wuwOmSO(.|#|)
WUŁOŽUJUCE	(.|#|)wuwOZujutsE(.|#|)
WUŁUGOWANJU	(.|#|)wuwugOwanju(.|#|)
WUŁUGOWANJU	(.|#|)wuwugowanju(.|#|)
WUŁUPJOMEJ	(.|#|)wuwupjOmej(.|#|)
WUŁUPMEJ	(.|#|)wuwupmej(.|#|)
WUŁUŠĆENJOMA	(.|#|)wuwuStSEnjOma(.|#|)
WUŁUŠĆILI	(.|#|)wuwuStSili(.|#|)
WUŁUŽONEJU	(.|#|)wuwuZOneju(.|#|)
WUŁUŽONEJU	(.|#|)wuwuZUneju(.|#|)
WUŁYKANJOW	(.|#|)wuw1kanjO(.|#|)
WUŁYKANJOW	(.|#|)wuw1kanjo(.|#|)
WUŁŽYCKUJOMY	(.|#|)wuwZ1tskujOm1(.|#|)
WUŁŽYCKUJOMY	(.|#|)wuwZ1tskujOmU(.|#|)
WUŚ	(.|#|)wuS(.|#|)
WUŚACONYCH	(.|#|)wuSatsOn1x(.|#|)
WUŚAMNIŁ	(.|#|)wuSamniu(.|#|)
WUŚELENJAM	(.|#|)wuSElEnjam(.|#|)
WUŚELTEJ	(.|#|)wuSEltej(.|#|)
WUŚERPJEŁA	(.|#|)wuSErpjEwa(.|#|)
WUŚICHOWANJOMA	(.|#|)wuSixOwanjOma(.|#|)
WUŚICHOWANJOMA	(.|#|)wuSiCowanjOma(.|#|)
WUŚISKNUŁO	(.|#|)wuSisknuwO(.|#|)
WUŚISNITEJ	(.|#|)wuSisnitej(.|#|)
WUŚIŠĆO	(.|#|)wuSiStSO(.|#|)
WUŚIŠĆUJTEJ	(.|#|)wuSiStSujtej(.|#|)
WUŚOPLIJOMY	(.|#|)wuSOplijOm1(.|#|)
WUŚOPLIJOMY	(.|#|)wuSOplijOmU(.|#|)
WUŚU	(.|#|)wuSu(.|#|)
WUŚĚGAŁO	(.|#|)wuSjigawO(.|#|)
WUŚĚGOWAK	(.|#|)wuSjigOwak(.|#|)
WUŚĚGOWAK	(.|#|)wuSjigowak(.|#|)
WUŚĚRJONEMU	(.|#|)wuSjirjOnEmu(.|#|)
WUŚĚRYJU	(.|#|)wuSjir1ju(.|#|)
WUŚĚŔMEJ	(.|#|)wuSjirmej(.|#|)
WUŚĚŔŚO	(.|#|)wuSjirSO(.|#|)
WUŚĚŽOWAŁ	(.|#|)wuSjiZOwau(.|#|)
WUŚĚŽOWAŁ	(.|#|)wuSjiZowau(.|#|)
WUŚĚŽTEJ	(.|#|)wuSjiZtej(.|#|)
WUŠ	(.|#|)wuS(.|#|)
WUŠACHAŁA	(.|#|)wuSaxawa(.|#|)
WUŠACHRUJO	(.|#|)wuSaxrujO(.|#|)
WUŠALOWANJE	(.|#|)wuSalOwan(j|)E(.|#|)
WUŠALOWANJE	(.|#|)wuSalowan(j|)E(.|#|)
WUŠALOWANYCH	(.|#|)wuSalOwan1x(.|#|)
WUŠALOWANYCH	(.|#|)wuSalowan1x(.|#|)
WUŠALTUJU	(.|#|)wuSaltuju(.|#|)
WUŠAMPLONEM	(.|#|)wuSamplOnEm(.|#|)
WUŠAPLIJOM	(.|#|)wuSaplijOm(.|#|)
WUŠAŔŚO	(.|#|)wuSarSO(.|#|)
WUŠEJSTOPNJOWANJA	(.|#|)wuSejstOpnjOwanja(.|#|)
WUŠEJSTOPNJOWANJA	(.|#|)wuSejstOpnjowanja(.|#|)
WUŠEJWUWIŚAM	(.|#|)wuSejwuwiSam(.|#|)
WUŠEMRJENJOW	(.|#|)wuSEmr(j|)EnjO(.|#|)
WUŠEMRJENJOW	(.|#|)wuSEmr(j|)Enjo(.|#|)
WUŠENUJOM	(.|#|)wuSEnujOm(.|#|)
WUŠEPJERJENJOMA	(.|#|)wuSEpjEr(j|)EnjOma(.|#|)
WUŠEPJEŔTEJ	(.|#|)wuSEpjErtej(.|#|)
WUŠK	(.|#|)wuSk(.|#|)
WUŠKAMI	(.|#|)wuSkami(.|#|)
WUŠKRABAKACH	(.|#|)wuSkrabakax(.|#|)
WUŠKÓŹENI	(.|#|)wuSkUZEni(.|#|)
WUŠLAPJOTEJ	(.|#|)wuSlapjOtej(.|#|)
WUŠMARNJOTEJ	(.|#|)wuSmarnjOtej(.|#|)
WUŠMEKOWANEJ	(.|#|)wuSmEkOwanej(.|#|)
WUŠMEKOWANEJ	(.|#|)wuSmEkowanej(.|#|)
WUŠMEKUJUCU	(.|#|)wuSmEkujutsu(.|#|)
WUŠMYRILI	(.|#|)wuSm1rili(.|#|)
WUŠMYRYJOMEJ	(.|#|)wuSm1r1jOmej(.|#|)
WUŠMYŔMY	(.|#|)wuSm1rm1(.|#|)
WUŠMYŔMY	(.|#|)wuSm1rmU(.|#|)
WUŠMYŔŚO	(.|#|)wuSm1rSO(.|#|)
WUŠNEKOWANYCH	(.|#|)wuSnEkOwan1x(.|#|)
WUŠNEKOWANYCH	(.|#|)wuSnEkowan1x(.|#|)
WUŠNEKUJUCEJ	(.|#|)wuSnEkujutsej(.|#|)
WUŠNORUJMY	(.|#|)wuSnOrujm1(.|#|)
WUŠNORUJMY	(.|#|)wuSnOrujmU(.|#|)
WUŠNYM	(.|#|)wuSn1m(.|#|)
WUŠOTERUJŚO	(.|#|)wuSOtErujSO(.|#|)
WUŠPACHTLOWANEJE	(.|#|)wuSpaxtlOwanejE(.|#|)
WUŠPACHTLOWANEJE	(.|#|)wuSpaxtlowanejE(.|#|)
WUŠPACHTLOWAŚ	(.|#|)wuSpaxtlOwaS(.|#|)
WUŠPACHTLOWAŚ	(.|#|)wuSpaxtlowaS(.|#|)
WUŠPICNACH	(.|#|)wuSpitsnax(.|#|)
WUŠPICNAJU	(.|#|)wuSpitsnaju(.|#|)
WUŠPICNALI	(.|#|)wuSpitsnali(.|#|)
WUŠPICNAMEJ	(.|#|)wuSpitsnamej(.|#|)
WUŠPICNANJU	(.|#|)wuSpitsnanju(.|#|)
WUŠPICNAT	(.|#|)wuSpitsnat(.|#|)
WUŠPICNAŁA	(.|#|)wuSpitsnawa(.|#|)
WUŠPICNAŚO	(.|#|)wuSpitsnaSO(.|#|)
WUŠPICNAŠĆO	(.|#|)wuSpitsnaStSO(.|#|)
WUŠPJERICHMY	(.|#|)wuSpjErixm1(.|#|)
WUŠPJERICHMY	(.|#|)wuSpjEriCmU(.|#|)
WUŠPJERYJO	(.|#|)wuSpjEr1jO(.|#|)
WUŠPJEŔMY	(.|#|)wuSpjErm1(.|#|)
WUŠPJEŔMY	(.|#|)wuSpjErmU(.|#|)
WUŠPULA	(.|#|)wuSpula(.|#|)
WUŠPUNDOWANU	(.|#|)wuSpundOwanu(.|#|)
WUŠPUNDOWANU	(.|#|)wuSpundowanu(.|#|)
WUŠRAFĚROWAŁO	(.|#|)wuSrafjirOwawO(.|#|)
WUŠRAFĚROWAŁO	(.|#|)wuSrafjirowawO(.|#|)
WUŠRANKOWANEM	(.|#|)wuSrankOwanEm(.|#|)
WUŠRANKOWANEM	(.|#|)wuSrankowanEm(.|#|)
WUŠROPOWANEJU	(.|#|)wuSrOpOwaneju(.|#|)
WUŠROPOWANEJU	(.|#|)wuSrOpowaneju(.|#|)
WUŠRUBOWAT	(.|#|)wuSrubOwat(.|#|)
WUŠRUBOWAT	(.|#|)wuSrubowat(.|#|)
WUŠTEKEROWAŁA	(.|#|)wuStEkErOwawa(.|#|)
WUŠTEKEROWAŁA	(.|#|)wuStEkjirowawa(.|#|)
WUŠTOSOWANEJE	(.|#|)wuStOsOwanejE(.|#|)
WUŠTOSOWANEJE	(.|#|)wuStOsowanejE(.|#|)
WUŠTROFOWANEGO	(.|#|)wuStrOfOwanEgO(.|#|)
WUŠTROFOWANEGO	(.|#|)wuStrOfowanEgO(.|#|)
WUŠTURLOWANJOMA	(.|#|)wuSturlOwanjOma(.|#|)
WUŠTURLOWANJOMA	(.|#|)wuSturlowanjOma(.|#|)
WUŠTYRJAMEJ	(.|#|)wuSt1rjamej(.|#|)
WUŠTYRJANJE	(.|#|)wuSt1rjan(j|)E(.|#|)
WUŠTYŔTEJ	(.|#|)wuSt1rtej(.|#|)
WUŠULOWACHMEJ	(.|#|)wuSulOwaxmej(.|#|)
WUŠULOWACHMEJ	(.|#|)wuSulowaxmej(.|#|)
WUŠUMMY	(.|#|)wuSum1(.|#|)
WUŠUMMY	(.|#|)wuSumU(.|#|)
WUŠUMUJOŚO	(.|#|)wuSumujOSO(.|#|)
WUŠUMYJOŚO	(.|#|)wuSum1jOSO(.|#|)
WUŠUPOWAT	(.|#|)wuSupOwat(.|#|)
WUŠUPOWAT	(.|#|)wuSupowat(.|#|)
WUŠURUJUCEJU	(.|#|)wuSurujutseju(.|#|)
WUŠUŹMY	(.|#|)wuSuZm1(.|#|)
WUŠUŹMY	(.|#|)wuSuZmU(.|#|)
WUŠWABLOWAŠTEJ	(.|#|)wuSwablOwaStej(.|#|)
WUŠWABLOWAŠTEJ	(.|#|)wuSwablowaStej(.|#|)
WUŠWICOWACHMEJ	(.|#|)wuSwitsOwaxmej(.|#|)
WUŠWICOWACHMEJ	(.|#|)wuSwitsowaxmej(.|#|)
WUŠWYRAŚ	(.|#|)wuSw1raS(.|#|)
WUŠYBLIMY	(.|#|)wuS1blim1(.|#|)
WUŠYBLIMY	(.|#|)wuS1blimU(.|#|)
WUŠYBÓLENJA	(.|#|)wuS1bUlEnja(.|#|)
WUŠYBÓLENJE	(.|#|)wuS1bUlEn(j|)E(.|#|)
WUŠYGLENJU	(.|#|)wuS1glEnju(.|#|)
WUŠYGLIJU	(.|#|)wuS1gliju(.|#|)
WUŠYGLIMY	(.|#|)wuS1glim1(.|#|)
WUŠYGLIMY	(.|#|)wuS1glimU(.|#|)
WUŠYGLONEGO	(.|#|)wuS1glOnEgO(.|#|)
WUŠYKOWAŁA	(.|#|)wuS1kOwawa(.|#|)
WUŠYKOWAŁA	(.|#|)wuS1kowawa(.|#|)
WUŠYLOWANJOMA	(.|#|)wuS1lOwanjOma(.|#|)
WUŠYLOWANJOMA	(.|#|)wuS1lowanjOma(.|#|)
WUŠYNDOWAŁO	(.|#|)wuS1ndOwawO(.|#|)
WUŠYNDOWAŁO	(.|#|)wuS1ndowawO(.|#|)
WUŠYWARNICOWU	(.|#|)wuS1warnitsOwu(.|#|)
WUŠYWARNICOWU	(.|#|)wuS1warnitsowu(.|#|)
WUŠYWAŃSKU	(.|#|)wuS1wajnsku(.|#|)
WUŠYŠLICH	(.|#|)wuS1Slix(.|#|)
WUŠYŠLICH	(.|#|)wuS1SliC(.|#|)
